"bathrooms","bedrooms","levels","livingArea","price","pricePerSquareFoot","garageSpaces","hasGarage","parking","pool","spa","homeType","isNewConstruction","yearBuilt","mild_uout","extr_uout","mout","f.price","f.yearBuilt"
3,3,"three or more",1460,229000,157,"0","0","1","0","0","SINGLE_FAMILY","0",1999,"0","0",0,"Medium-Low","Recent"
5,6,"two",6600,1200000,182,"3 or more","1","1","0","1","SINGLE_FAMILY","0",1999,"0","0",1,"High","Recent"
4,5,"two",3773,550000,146,"0","1","1","0","0","SINGLE_FAMILY","0",2016,"0","0",0,"High","New"
4,4,"three or more",2511,435000,173,"2","1","1","1","0","TOWNHOUSE","0",2004,"0","0",0,"Medium-High","Recent"
4,5,"two",3709,428900,116,"0","1","1","0","0","SINGLE_FAMILY","0",2017,"0","0",0,"Medium-High","New"
3,3,"two",2050,550000,268,"0","1","1","0","0","TOWNHOUSE","0",2014,"0","0",0,"High","Recent"
2,4,"three or more",1649,360000,218,"1","1","1","0","0","SINGLE_FAMILY","0",1961,"0","0",0,"Medium-High","Old"
2,4,"one",1943,379900,196,"0","1","1","0","0","SINGLE_FAMILY","0",1963,"0","0",0,"Medium-High","Old"
2,2,"one",1269,115000,91,"0","0","1","0","0","SINGLE_FAMILY","0",1958,"0","0",0,"Low","Old"
3,4,"two",2270,349900,154,"2","1","1","0","0","SINGLE_FAMILY","0",2018,"0","0",0,"Medium-High","New"
4,4,"two",3449,490000,142,"2","1","1","0","0","SINGLE_FAMILY","0",2019,"0","0",0,"High","New"
7,6,"three or more",5270,1100000,209,"0","1","0","0","1","SINGLE_FAMILY","0",2005,"0","0",1,"High","Recent"
1,3,"one",1046,115000,110,"0","0","1","0","0","SINGLE_FAMILY","0",1941,"0","0",0,"Low","Old"
4,4,"two",3317,699999,211,"2","1","1","0","0","SINGLE_FAMILY","0",1989,"0","0",0,"High","Old"
4,5,"three or more",3300,595000,180,"2","1","1","0","0","SINGLE_FAMILY","0",1996,"0","0",0,"High","Recent"
1,3,"one",1298,150000,116,"0","0","1","0","0","SINGLE_FAMILY","0",1955,"0","0",0,"Low","Old"
3,3,"two",2659,450000,169,"2","1","1","0","0","SINGLE_FAMILY","0",1990,"0","0",0,"Medium-High","Old"
3,4,"one",2678,449000,168,"0","1","0","0","0","SINGLE_FAMILY","0",1985,"0","0",0,"Medium-High","Old"
1,4,"one",975,140000,144,"0","1","0","0","0","SINGLE_FAMILY","0",1965,"0","0",0,"Low","Old"
5,6,"two",5100,475000,93,"2","1","1","0","1","SINGLE_FAMILY","0",2002,"0","0",0,"Medium-High","Recent"
5,5,"three or more",3700,925000,250,"3 or more","1","1","0","0","SINGLE_FAMILY","0",2017,"0","0",0,"High","New"
1,2,"one",904,65000,72,"0","0","1","0","0","SINGLE_FAMILY","0",1900,"0","0",0,"Low","Historic"
3,5,"two",3177,459900,145,"0","1","1","0","0","SINGLE_FAMILY","1",2021,"0","0",0,"Medium-High","New"
2,3,"one",1752,437222,250,"0","1","1","0","0","SINGLE_FAMILY","0",2008,"0","0",0,"Medium-High","Recent"
2,4,"one",2330,359000,154,"0","1","1","0","0","SINGLE_FAMILY","1",2021,"0","0",0,"Medium-High","New"
5,6,"two",5174,550000,106,"2","1","1","0","0","SINGLE_FAMILY","0",2012,"0","0",0,"High","Recent"
3,3,"two",2038,675000,331,"0","0","1","0","0","SINGLE_FAMILY","0",1948,"0","0",0,"High","Old"
3,3,"two",2688,425000,158,"0","1","0","0","0","SINGLE_FAMILY","0",1999,"0","0",0,"Medium-High","Recent"
3,4,"one",2552,369000,145,"2","1","1","0","0","SINGLE_FAMILY","0",2000,"0","0",0,"Medium-High","Recent"
3,3,"one",2268,349000,154,"2","1","1","0","0","SINGLE_FAMILY","0",1988,"0","0",0,"Medium-High","Old"
2,3,"one",2704,381900,141,"2","1","1","0","0","SINGLE_FAMILY","0",1987,"0","0",0,"Medium-High","Old"
3,3,"two",2592,350000,135,"2","1","1","0","0","SINGLE_FAMILY","0",2016,"0","0",0,"Medium-High","New"
4,4,"three or more",2780,5e+05,180,"2","1","1","0","0","SINGLE_FAMILY","0",1988,"0","0",0,"High","Old"
1,1,"two",1000,449714,450,"0","0","1","0","0","CONDO","0",1997,"0","0",1,"Medium-High","Recent"
1,1,"three or more",897,269900,301,"0","0","1","0","0","CONDO","0",1914,"0","0",0,"Medium-Low","Historic"
2,3,"one",1377,167900,122,"0","1","1","0","0","SINGLE_FAMILY","0",2002,"0","0",0,"Low","Recent"
2,2,"two",1200,245000,204,"0","0","0","0","0","TOWNHOUSE","0",1984,"0","0",0,"Medium-Low","Old"
3,3,"two",2612,539900,207,"2","1","1","0","1","SINGLE_FAMILY","0",2001,"0","0",0,"High","Recent"
1,3,"one",1326,132000,100,"0","0","0","0","0","SINGLE_FAMILY","0",1955,"0","0",0,"Low","Old"
1,2,"one",764,8500,11,"0","0","0","0","0","SINGLE_FAMILY","0",1967,"0","0",0,"Low","Old"
6,5,"one",5063,380000,75,"2","1","1","0","0","SINGLE_FAMILY","0",1965,"0","0",1,"Medium-High","Old"
3,4,"two",2483,435000,175,"0","1","1","1","1","SINGLE_FAMILY","0",1990,"0","0",0,"Medium-High","Old"
3,5,"two",2290,307500,134,"1","1","1","0","0","SINGLE_FAMILY","0",2005,"0","0",0,"Medium-Low","Recent"
1,3,"one",1225,229900,188,"0","0","1","0","0","SINGLE_FAMILY","0",1955,"0","0",0,"Medium-Low","Old"
4,4,"two",4115,459900,112,"0","0","0","0","0","SINGLE_FAMILY","0",1920,"0","0",0,"Medium-High","Historic"
4,6,"one",1602,110000,69,"0","0","0","0","0","MULTI_FAMILY","0",1924,"0","0",1,"Low","Historic"
3,4,"two",2002,201990,101,"0","1","1","0","0","SINGLE_FAMILY","1",2021,"0","0",0,"Low","New"
1,1,"one",861,165000,192,"0","0","1","0","0","CONDO","0",1982,"0","0",0,"Low","Old"
4,5,"two",4119,479950,117,"0","1","1","0","0","SINGLE_FAMILY","0",2017,"0","0",0,"High","New"
3,3,"one",1204,313000,260,"2","1","1","0","0","SINGLE_FAMILY","0",1994,"0","0",0,"Medium-Low","Old"
3,4,"two",2073,244900,118,"2","1","1","0","0","SINGLE_FAMILY","0",2019,"0","0",0,"Medium-Low","New"
2,3,"one",1927,314900,163,"2","1","1","0","0","CONDO","0",2007,"0","0",0,"Medium-Low","Recent"
2,4,"two",2262,330000,146,"0","0","1","0","0","SINGLE_FAMILY","0",1968,"0","0",0,"Medium-High","Old"
5,5,"two",3170,695000,219,"2","1","1","0","0","SINGLE_FAMILY","1",2021,"0","0",0,"High","New"
2,3,"two",2880,799900,278,"0","0","1","0","0","SINGLE_FAMILY","0",2008,"0","0",0,"High","Recent"
2,2,"three or more",1512,3e+05,198,"0","0","0","1","0","CONDO","0",1983,"0","0",0,"Medium-Low","Old"
5,6,"three or more",2829,525000,186,"2","1","1","0","0","SINGLE_FAMILY","0",2008,"0","0",0,"High","Recent"
2,3,"one",1806,299900,166,"2","1","1","0","0","SINGLE_FAMILY","0",1999,"0","0",0,"Medium-Low","Recent"
2,4,"one",2062,315000,153,"1","1","1","0","0","SINGLE_FAMILY","0",1991,"0","0",0,"Medium-Low","Old"
1,3,"one",1160,120000,103,"0","0","0","0","0","SINGLE_FAMILY","0",1950,"0","0",0,"Low","Old"
2,3,"two",1152,299000,260,"0","0","1","0","0","SINGLE_FAMILY","0",2008,"0","0",0,"Medium-Low","Recent"
4,5,"three or more",3779,5e+05,132,"2","1","1","0","1","SINGLE_FAMILY","0",2003,"0","0",0,"High","Recent"
3,3,"one",2590,699000,270,"0","0","0","0","1","SINGLE_FAMILY","0",2010,"0","0",0,"High","Recent"
3,3,"two",3990,499900,125,"0","1","1","1","0","SINGLE_FAMILY","0",1994,"0","0",0,"High","Old"
2,3,"one",1400,379000,271,"0","0","1","0","0","SINGLE_FAMILY","0",1960,"0","0",0,"Medium-High","Old"
3,4,"two",4653,519900,112,"2","1","1","0","1","SINGLE_FAMILY","0",2005,"0","0",0,"High","Recent"
1,2,"one",720,45000,63,"0","0","0","0","0","SINGLE_FAMILY","0",1938,"0","0",0,"Low","Old"
5,6,"three or more",3364,360000,107,"2","1","1","0","1","SINGLE_FAMILY","0",1997,"0","0",0,"Medium-High","Recent"
4,3,"two",1805,319900,177,"2","1","1","1","0","TOWNHOUSE","0",1983,"0","0",0,"Medium-Low","Old"
3,3,"two",1846,315000,171,"2","1","1","0","0","SINGLE_FAMILY","0",2017,"0","0",0,"Medium-Low","New"
2,4,"one",1995,220000,110,"2","1","1","0","0","SINGLE_FAMILY","0",1995,"0","0",0,"Low","Recent"
2,2,"one",1428,321750,225,"2","1","1","0","0","SINGLE_FAMILY","1",2021,"0","0",0,"Medium-Low","New"
4,5,"two",3417,619900,181,"2","1","1","0","1","SINGLE_FAMILY","0",1997,"0","0",0,"High","Recent"
3,3,"two",2918,6e+05,206,"0","1","1","0","0","SINGLE_FAMILY","0",1997,"0","0",0,"High","Recent"
1,4,"one",1452,215000,148,"0","0","0","0","0","SINGLE_FAMILY","0",1979,"0","0",0,"Low","Old"
3,3,"two",1782,460000,258,"1","1","1","0","0","SINGLE_FAMILY","0",1999,"0","0",0,"Medium-High","Recent"
4,4,"two",3948,567000,144,"2","1","1","0","0","SINGLE_FAMILY","0",2002,"0","0",0,"High","Recent"
3,3,"two",3171,884900,279,"0","1","1","0","0","SINGLE_FAMILY","0",2013,"0","0",0,"High","Recent"
3,4,"one",2265,329900,146,"0","1","1","0","0","SINGLE_FAMILY","0",2020,"0","0",0,"Medium-Low","New"
4,3,"three or more",2400,649000,270,"2","1","1","0","0","TOWNHOUSE","0",2015,"0","0",0,"High","New"
3,2,"two",1292,610000,472,"1","1","1","0","0","TOWNHOUSE","0",1982,"0","0",1,"High","Old"
3,4,"two",2919,344900,118,"2","1","1","0","0","SINGLE_FAMILY","0",2019,"0","0",0,"Medium-High","New"
2,3,"three or more",1345,179900,134,"0","0","0","0","0","TOWNHOUSE","0",2005,"0","0",0,"Low","Recent"
2,3,"one",1712,295000,172,"2","1","1","1","0","SINGLE_FAMILY","0",1980,"0","0",0,"Medium-Low","Old"
4,5,"three or more",3800,640000,168,"2","1","1","0","1","SINGLE_FAMILY","0",2006,"0","0",0,"High","Recent"
2,3,"one",1644,249900,152,"0","0","1","0","0","SINGLE_FAMILY","0",1922,"0","0",0,"Medium-Low","Historic"
4,5,"one",3420,649000,190,"0","1","1","0","0","SINGLE_FAMILY","0",2018,"0","0",0,"High","New"
3,6,"one",2296,150000,65,"0","0","0","0","0","SINGLE_FAMILY","0",1984,"0","0",0,"Low","Old"
3,3,"three or more",2884,450000,156,"2","1","1","1","0","SINGLE_FAMILY","0",1984,"0","0",0,"Medium-High","Old"
4,3,"three or more",1880,565000,301,"2","1","1","0","0","TOWNHOUSE","0",2018,"0","0",0,"High","New"
4,4,"two",2862,380000,133,"0","0","0","0","0","SINGLE_FAMILY","0",1974,"0","0",0,"Medium-High","Old"
4,5,"three or more",2600,330000,127,"2","1","1","0","0","SINGLE_FAMILY","0",2018,"0","0",0,"Medium-High","New"
2,3,"one",1405,289000,206,"1","1","1","0","0","SINGLE_FAMILY","0",2006,"0","0",0,"Medium-Low","Recent"
4,4,"one",3391,378500,112,"2","1","1","0","0","SINGLE_FAMILY","0",2003,"0","0",0,"Medium-High","Recent"
1,2,"one",1800,169900,94,"0","0","1","0","0","SINGLE_FAMILY","0",1981,"0","0",0,"Low","Old"
3,4,"two",2093,309900,148,"2","1","1","0","0","SINGLE_FAMILY","0",2005,"0","0",0,"Medium-Low","Recent"
3,3,"one",1560,350000,224,"0","0","0","0","0","SINGLE_FAMILY","0",1998,"0","0",0,"Medium-High","Recent"
3,5,"one",2624,429000,163,"0","0","1","0","0","SINGLE_FAMILY","0",1985,"0","0",0,"Medium-High","Old"
2,4,"one",1250,71500,57,"0","0","0","0","0","MULTI_FAMILY","0",1964,"0","0",0,"Low","Old"
3,4,"one",2304,260000,113,"0","1","0","1","0","SINGLE_FAMILY","0",1993,"0","0",0,"Medium-Low","Old"
4,5,"two",4625,1077700,233,"0","0","1","0","0","SINGLE_FAMILY","0",1962,"0","0",1,"High","Old"
